cabang,target_all,target_cabang,pers_all_cabang,pencapaian,pers_pencapaian,selisih,tanggal
KALIMALANG,1224254505,872422464.7,71.26,388392451,44.52,-484030013.7,5/21/2021
PURWAKARTA,559423571,396483677.3,70.87,145650258,36.74,-250833419.3,5/21/2021
TANGERANG,402902680,249575743.9,61.94,107231014,42.97,-142344729.9,5/21/2021
SERANG,1379743383,807042388.6,58.49,295588446,36.63,-511453942.6,5/21/2021
BOGOR,1159624327,972390336.4,83.85,532543888,54.77,-439846448.4,5/21/2021
CIBUBUR,784140680,501910336,64.01,271310064,54.06,-230600272,5/21/2021
SUKABUMI,367902142,200572087,54.52,88285685,44.02,-112286402,5/21/2021
YOGYAKARTA,424201886,274237995.4,64.65,96725598,35.27,-177512397.4,5/21/2021
TEGAL,671879491,500974446.1,74.56,222790412,44.47,-278184034.1,5/21/2021
SOLO,355022393,238548714.4,67.19,75731734,31.75,-162816980.4,5/21/2021
PALEMBANG,1684017785,1072767701,63.7,394488610,36.77,-678279091.1,5/21/2021
MEDAN,517028079,341998725.4,66.15,121331709,35.48,-220667016.4,5/21/2021
PEKANBARU,588440608,438805495.9,74.57,126447677,28.82,-312357818.9,5/21/2021
ACEH,481872361,353646914.9,73.39,137400152,38.85,-216246762.9,5/21/2021
JAMBI,1112653392,753105503.4,67.69,202173661,26.85,-550931842.4,5/21/2021
PADANG,640000620,373063981.1,58.29,100223801,26.87,-272840180.1,5/21/2021
LAMPUNG,227501630,202651917.2,89.08,96116649,47.43,-106535268.2,5/21/2021
LHOKSEUMAWE,691229002,382866154.1,55.39,129039789,33.7,-253826365.1,5/21/2021
MAKASSAR,920378181,662041859.5,71.93,255916576,38.66,-406125283.5,5/21/2021
MANADO,600475528,400942470.8,66.77,194063881,48.4,-206878589.8,5/21/2021
PARE-PARE,748410264,584391747.1,78.08,174590935,29.88,-409800812.1,5/21/2021
PALOPO,1176636685,832294175,70.74,272288476,32.72,-560005699,5/21/2021
SAMARINDA,1092526852,780219931.3,71.41,298763422,38.29,-481456509.3,5/21/2021
BANJARMASIN,1632807093,1283348974,78.6,786217031,61.26,-497131943.2,5/21/2021
PONTIANAK,514731806,349691355.9,67.94,119398682,34.14,-230292673.9,5/21/2021
BALI,271516505,175331590.7,64.57,45807196,26.13,-129524394.7,5/21/2021
TOTAL,20229321449,14001326688,69.21,5678517797,40.56,-8322808891,5/21/2021
