Cabang,Tahun,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
KSKC GIANYAR,2021,500,500,500,500,1000,1000,1000,1000,1000,1000,1000,1000
MADIUN,2021,500,500,500,500,1000,1000,1000,1000,1000,1000,1000,1000
PARE-PARE,2021,500,500,500,500,500,1000,1000,1000,1000,1000,1000,1000
PALU,2021,0,0,0,0,0,0,0,0,0,0,0,0
PALOPO,2021,1000,1000,1000,2000,2000,2000,2000,2000,2000,2000,2500,2500
MAKASSAR,2021,1000,1000,1000,2000,2000,2000,2000,2000,2000,2000,2500,2500
SAMARINDA,2021,1000,1000,1000,2000,2000,2000,2000,2000,2000,2000,2500,2500
MANADO,2021,0,0,0,0,0,0,0,0,0,0,0,0
BANJARMASIN,2021,1000,1000,1000,2000,2000,2000,2000,2000,2000,2000,2500,2500
PONTIANAK,2021,1000,1000,1000,1000,1000,1000,1000,1000,1000,1500,1500,1500
YOGYAKARTA,2021,500,500,1000,1000,1000,1000,1000,1500,1500,2000,2000,2000
BALI,2021,1000,1000,1000,1000,1000,1000,1000,1000,1500,1500,1500,1500
SOLO,2021,0,0,0,0,0,0,0,0,0,0,0,0
TEGAL,2021,500,500,1000,1000,1000,1000,1000,1500,1500,2000,2000,2000
PURWAKARTA,2021,1000,1000,1000,1000,1000,1000,1000,1000,1500,1500,2000,2000
SERANG,2021,1000,1000,1000,2000,2000,2000,2000,2000,2000,2000,2000,2000
SUKABUMI,2021,0,0,0,0,0,0,0,0,0,0,0,0
TANGERANG,2021,500,500,500,500,500,500,1000,1000,1000,1000,1000,1000
KALIMALANG,2021,500,1000,1000,1000,1500,1500,1500,1500,1500,1500,1500,1500
CIBUBUR,2021,500,1000,1000,1000,1500,1500,1500,1500,1500,1500,1500,1500
BOGOR,2021,500,1000,1000,1000,1500,1500,1500,1500,1500,1500,1500,1500
MEDAN,2021,500,1000,1000,1000,1500,1500,1500,1500,1500,1500,1500,1500
PALEMBANG,2021,1000,1250,1000,2000,2000,2000,2000,2000,2000,2500,2500,2500
PADANG,2021,0,0,0,0,0,0,0,0,0,0,0,0
PEKANBARU,2021,500,1000,1000,1000,1000,1000,1000,1000,1500,1500,1500,1500
LHOKSEUMAWE,2021,0,0,0,0,0,0,0,0,0,0,0,0
LAMPUNG,2021,500,500,500,500,500,500,1000,1000,1000,1000,1000,1000
ACEH,2021,0,0,0,0,0,0,0,0,0,0,0,0
JAMBI,2021,1000,1250,1000,2000,2000,2000,2000,2000,2000,2500,2500,2500
